anchor,jnd,mean,normality,samples,samples_no,sequence_index,standard_deviation
34,38,40.33333333,1,"[43, 38, 44, 37, 39, 43, 38, 44, 39, 44, 37, 39, 38, 41, 40, 40, 44, 47, 39, 40, 38, 43, 43, 45, 39, 39, 43, 36, 38, 39, 36, 39, 39]",33,21,2.846781809
26,30,31.73529412,1,"[31, 31, 28, 29, 33, 30, 33, 33, 32, 28, 34, 30, 32, 34, 34, 30, 35, 33, 39, 30, 29, 31, 35, 36, 29, 31, 30, 31, 34, 34, 28, 31, 32, 29]",34,22,2.550208827
24,29,30.24242424,1,"[31, 26, 31, 33, 31, 29, 27, 33, 30, 28, 30, 30, 30, 33, 29, 30, 33, 37, 31, 33, 31, 29, 30, 30, 26, 28, 32, 28, 32, 31, 26, 29, 31]",33,23,2.372107489
25,30,33.46875,1,"[30, 33, 38, 30, 35, 30, 34, 38, 34, 33, 34, 30, 30, 34, 39, 29, 30, 33, 33, 27, 36, 36, 34, 36, 32, 29, 33, 40, 31, 42, 35, 33]",32,24,3.482531291
28,33,34.25,1,"[33, 40, 33, 39, 31, 35, 37, 37, 36, 34, 40, 33, 31, 33, 32, 38, 33, 35, 34, 32, 33, 34, 34, 35, 34, 30, 33, 33, 33, 32, 32, 37]",32,25,2.56527682
28,33,34.77777778,1,"[33, 36, 32, 35, 37, 37, 34, 32, 32, 36, 32, 38, 34, 35, 33, 35, 36, 36, 34, 40, 33, 36, 33, 33, 33, 33, 36, 34, 33, 38, 34, 33, 37, 40, 32, 37]",36,26,2.231093404
26,32,33.3030303,1,"[36, 33, 35, 36, 37, 30, 31, 34, 36, 33, 34, 32, 32, 37, 32, 31, 36, 29, 30, 35, 34, 39, 32, 31, 30, 32, 34, 32, 34, 36, 32, 32, 32]",33,27,2.417189076
26,31,33.02777778,1,"[34, 36, 32, 31, 33, 37, 36, 30, 32, 31, 33, 35, 36, 28, 34, 28, 31, 29, 34, 31, 35, 32, 34, 30, 31, 37, 40, 34, 28, 33, 37, 38, 31, 33, 31, 34]",36,28,2.942167433
29,34,35.44117647,1,"[33, 35, 38, 34, 37, 37, 31, 36, 36, 32, 36, 34, 36, 37, 37, 34, 37, 31, 34, 35, 40, 33, 40, 36, 36, 35, 37, 35, 34, 31, 35, 36, 39, 38]",34,29,2.324978677
31,35,36.32258065,1,"[37, 36, 33, 33, 35, 36, 38, 34, 35, 35, 39, 38, 36, 36, 39, 40, 34, 38, 38, 37, 40, 36, 33, 39, 34, 37, 36, 39, 38, 33, 34]",31,30,2.181545275
27,32,33.20588235,1,"[32, 35, 31, 32, 38, 34, 32, 29, 33, 34, 32, 40, 33, 35, 29, 32, 36, 32, 31, 33, 38, 35, 35, 32, 33, 33, 30, 31, 31, 33, 35, 34, 32, 34]",34,31,2.434342818
27,32,34.14705882,1,"[34, 37, 36, 33, 30, 34, 35, 32, 34, 32, 38, 38, 32, 29, 35, 34, 32, 38, 32, 33, 29, 38, 33, 37, 36, 36, 37, 32, 35, 33, 36, 33, 36, 32]",34,32,2.536190808
20,26,28.29411765,1,"[28, 25, 26, 28, 22, 28, 28, 36, 34, 26, 28, 31, 34, 30, 35, 28, 31, 28, 32, 30, 31, 25, 27, 28, 24, 22, 33, 23, 22, 30, 26, 26, 30, 27]",34,33,3.697086582
21,26,28.43333333,1,"[24, 29, 23, 30, 23, 24, 28, 35, 25, 30, 29, 27, 31, 31, 27, 27, 40, 27, 26, 23, 29, 36, 27, 31, 28, 23, 27, 28, 32, 33]",30,34,4.074168697
20,25,27.60606061,1,"[26, 25, 25, 33, 27, 23, 28, 24, 26, 32, 35, 28, 29, 29, 27, 30, 28, 31, 25, 25, 27, 24, 28, 29, 28, 24, 29, 35, 31, 24, 24, 25, 27]",33,35,3.171547276
24,28,30.36363636,1,"[30, 28, 33, 29, 26, 32, 28, 35, 29, 31, 27, 31, 29, 34, 32, 29, 30, 33, 26, 30, 29, 28, 28, 34, 38, 30, 33, 33, 30, 33, 27, 28, 29]",33,36,2.781840463
18,23,26.26470588,1,"[23, 22, 30, 29, 32, 25, 27, 26, 28, 26, 27, 22, 26, 28, 32, 25, 22, 31, 33, 23, 29, 23, 24, 28, 25, 33, 21, 24, 27, 27, 26, 21, 28, 20]",34,37,3.561654566
23,28,29.73529412,1,"[32, 28, 34, 36, 28, 33, 25, 29, 25, 28, 28, 27, 33, 32, 27, 32, 32, 33, 28, 30, 32, 30, 26, 30, 31, 26, 31, 30, 28, 35, 32, 25, 26, 29]",34,38,2.987943689
18,24,27.5625,1,"[26, 25, 26, 23, 30, 26, 24, 33, 24, 26, 29, 24, 24, 29, 33, 27, 28, 26, 30, 23, 30, 29, 23, 28, 26, 22, 23, 31, 33, 38, 30, 33]",32,39,3.834794018
22,25,28.3125,1,"[25, 37, 30, 30, 29, 25, 29, 30, 29, 29, 32, 30, 29, 29, 24, 34, 25, 30, 29, 30, 23, 30, 26, 28, 23, 23, 30, 23, 31, 24, 31, 29]",32,40,3.364305038
24,29,31.08333333,1,"[29, 32, 26, 33, 34, 34, 34, 29, 29, 33, 27, 32, 28, 37, 29, 31, 32, 30, 29, 39, 29, 32, 31, 30, 28, 33, 34, 33, 30, 31, 29, 31, 26, 33, 31, 31]",36,41,2.801785145
26,32,33.48484848,1,"[34, 32, 36, 35, 34, 31, 34, 32, 36, 36, 33, 34, 34, 33, 31, 35, 33, 32, 34, 34, 34, 37, 32, 32, 35, 31, 31, 30, 34, 35, 35, 31, 35]",33,42,1.787477484
26,31,32.52777778,1,"[35, 32, 32, 32, 38, 35, 33, 31, 32, 28, 33, 36, 30, 28, 30, 34, 34, 28, 31, 29, 37, 34, 29, 31, 29, 35, 38, 34, 32, 29, 35, 34, 31, 37, 31, 34]",36,43,2.863425632
28,32,34.5,1,"[31, 34, 33, 32, 34, 36, 30, 30, 39, 31, 32, 35, 36, 36, 42, 33, 42, 34, 32, 34, 35, 33, 38, 32, 34, 37, 33, 36, 33, 32, 35, 31, 40, 38]",34,44,3.13581462
25,30,33.4516129,1,"[36, 28, 26, 38, 29, 34, 31, 38, 30, 31, 39, 28, 33, 34, 41, 37, 34, 30, 28, 36, 37, 31, 37, 43, 38, 26, 33, 37, 34, 30, 30]",31,45,4.441011219
25,28,30.15151515,1,"[31, 35, 32, 31, 32, 34, 26, 33, 28, 26, 28, 29, 30, 26, 27, 33, 27, 26, 30, 32, 32, 27, 27, 30, 34, 28, 33, 30, 30, 34, 33, 30, 31]",33,46,2.739995576
25,28,31.64705882,1,"[37, 39, 40, 27, 31, 28, 35, 29, 32, 27, 35, 30, 27, 27, 29, 31, 27, 37, 27, 27, 27, 36, 31, 34, 39, 34, 33, 30, 33, 33, 35, 30, 30, 29]",34,47,3.983924918
23,25,28.82352941,1,"[35, 24, 30, 28, 24, 31, 26, 39, 36, 27, 30, 34, 33, 24, 35, 25, 30, 30, 28, 30, 32, 28, 29, 24, 24, 24, 27, 25, 27, 24, 27, 33, 32, 25]",34,48,4.100780327
22,25,30.06666667,1,"[28, 37, 24, 30, 24, 25, 25, 34, 32, 36, 32, 29, 33, 33, 24, 28, 42, 35, 24, 27, 32, 33, 26, 32, 25, 25, 34, 28, 35, 30]",30,49,4.682567328
25,29,30.1875,0,"[31, 29, 29, 37, 27, 27, 33, 27, 27, 33, 38, 29, 29, 30, 31, 30, 30, 35, 30, 31, 30, 29, 30, 30, 30, 27, 28, 33, 27, 28, 32, 29]",32,50,2.775904386
23,27,29.27272727,1,"[30, 32, 31, 26, 25, 35, 28, 35, 30, 30, 30, 34, 32, 32, 26, 29, 30, 31, 28, 29, 25, 25, 28, 34, 30, 29, 29, 25, 27, 31, 27, 27, 26]",33,51,2.907670108
25,28,29.97058824,1,"[27, 28, 28, 30, 36, 27, 27, 31, 30, 27, 28, 29, 30, 30, 32, 30, 33, 31, 34, 27, 31, 30, 30, 31, 28, 30, 30, 33, 33, 33, 30, 28, 30, 27]",34,52,2.276164958
24,28,29.58823529,1,"[28, 28, 32, 35, 26, 28, 29, 33, 26, 28, 30, 31, 30, 35, 28, 31, 31, 35, 26, 30, 30, 29, 33, 27, 26, 26, 31, 35, 32, 28, 29, 26, 28, 26]",34,53,2.893227694
23,30,31.875,1,"[31, 36, 28, 33, 35, 31, 31, 40, 30, 28, 31, 30, 30, 34, 35, 30, 28, 26, 32, 29, 37, 35, 29, 34, 31, 30, 28, 34, 33, 35, 34, 32]",32,54,3.118622525
28,30,32.375,1,"[29, 39, 29, 34, 30, 32, 35, 37, 36, 35, 36, 29, 32, 30, 29, 33, 33, 32, 35, 34, 29, 32, 32, 35, 29, 29, 33, 31, 32, 29, 32, 34]",32,55,2.744495958
28,33,33.77777778,1,"[32, 33, 33, 35, 33, 37, 36, 30, 30, 37, 32, 33, 31, 37, 34, 34, 36, 33, 36, 36, 33, 36, 31, 33, 32, 34, 36, 36, 31, 33, 35, 33, 33, 37, 30, 35]",36,56,2.152886582
28,33,34.3030303,1,"[36, 34, 34, 36, 33, 33, 34, 33, 37, 34, 30, 34, 36, 32, 33, 33, 36, 33, 34, 34, 36, 38, 37, 33, 34, 34, 33, 34, 34, 32, 37, 34, 37]",33,57,1.776317266
29,33,35.02777778,1,"[37, 37, 33, 35, 43, 34, 34, 35, 35, 30, 36, 39, 36, 32, 37, 30, 30, 33, 37, 32, 37, 33, 36, 32, 30, 34, 39, 39, 37, 32, 38, 38, 34, 36, 36, 35]",36,58,2.980758399
29,35,35.55882353,1,"[32, 35, 38, 35, 37, 38, 35, 34, 36, 33, 38, 31, 37, 37, 38, 38, 37, 35, 34, 38, 35, 35, 37, 35, 35, 38, 36, 36, 32, 31, 35, 32, 39, 37]",34,59,2.20455694
25,30,33.03225806,1,"[32, 35, 31, 28, 29, 38, 32, 35, 30, 30, 33, 32, 38, 34, 32, 38, 30, 32, 42, 28, 30, 33, 39, 41, 29, 27, 36, 35, 34, 31, 30]",31,60,3.894302428
30,34,35.11764706,1,"[35, 36, 36, 35, 37, 35, 36, 32, 35, 34, 33, 41, 35, 36, 36, 35, 32, 33, 33, 35, 37, 36, 33, 32, 35, 35, 34, 35, 34, 33, 37, 38, 35, 40]",34,61,2.041459755
25,30,32.91176471,1,"[37, 41, 33, 29, 28, 30, 30, 30, 36, 30, 37, 42, 33, 27, 30, 33, 31, 32, 33, 37, 27, 40, 30, 32, 35, 36, 37, 27, 33, 32, 35, 30, 35, 31]",34,62,3.934059874
25,29,31.38235294,1,"[38, 30, 29, 33, 27, 35, 29, 38, 32, 31, 36, 37, 30, 30, 31, 30, 30, 29, 36, 39, 34, 29, 27, 30, 29, 27, 27, 31, 27, 27, 32, 34, 36, 27]",34,63,3.676417112
24,27,30.93333333,1,"[27, 36, 27, 34, 26, 27, 32, 41, 31, 26, 34, 26, 31, 34, 29, 27, 41, 33, 30, 28, 32, 31, 31, 34, 29, 26, 31, 30, 34, 30]",30,64,3.982144054
27,32,33.57575758,1,"[32, 32, 33, 38, 31, 32, 38, 32, 29, 36, 38, 32, 32, 32, 35, 37, 37, 34, 33, 33, 29, 32, 32, 36, 32, 35, 33, 42, 35, 32, 31, 34, 29]",33,65,2.937157459
28,33,34.18181818,1,"[36, 34, 32, 32, 33, 35, 31, 36, 33, 38, 36, 33, 38, 37, 35, 32, 33, 37, 36, 35, 31, 32, 33, 37, 33, 33, 34, 31, 33, 35, 31, 36, 37]",33,66,2.171614397
25,30,31.82352941,1,"[29, 31, 32, 33, 37, 28, 33, 33, 35, 31, 35, 29, 31, 32, 33, 29, 34, 34, 36, 30, 33, 31, 33, 33, 32, 29, 29, 30, 34, 37, 30, 29, 30, 27]",34,67,2.563976413
30,35,36.23529412,1,"[36, 35, 36, 40, 33, 39, 35, 36, 32, 32, 34, 34, 37, 40, 35, 37, 40, 40, 35, 38, 37, 39, 37, 37, 38, 34, 35, 38, 36, 37, 37, 32, 35, 36]",34,68,2.29701814
26,32,33.625,1,"[34, 35, 32, 30, 34, 31, 33, 39, 36, 34, 33, 31, 32, 33, 35, 30, 31, 30, 36, 32, 37, 35, 28, 34, 34, 29, 32, 39, 36, 40, 33, 38]",32,69,2.991924615
31,36,37.21875,1,"[38, 41, 38, 36, 38, 37, 38, 39, 38, 40, 42, 35, 37, 40, 38, 39, 36, 38, 38, 34, 38, 33, 36, 37, 35, 33, 35, 35, 39, 34, 37, 39]",32,70,2.210449889
29,34,36.02777778,1,"[36, 37, 33, 39, 39, 41, 35, 34, 35, 38, 35, 36, 33, 37, 33, 37, 37, 36, 37, 41, 35, 33, 34, 32, 35, 36, 37, 37, 34, 38, 35, 34, 37, 42, 31, 38]",36,71,2.524011672
29,35,37,1,"[40, 37, 39, 41, 42, 34, 38, 36, 38, 39, 35, 37, 35, 35, 35, 35, 36, 37, 38, 41, 40, 39, 35, 34, 38, 36, 35, 34, 35, 36, 37, 36, 38]",33,72,2.207940217
28,32,34.08571429,1,"[35, 34, 34, 36, 38, 38, 36, 32, 35, 31, 35, 34, 32, 31, 35, 29, 32, 31, 34, 32, 38, 37, 32, 33, 32, 37, 32, 36, 32, 36, 38, 32, 37, 33, 34]",35,73,2.429856309
27,30,31.75757576,1,"[35, 32, 33, 32, 32, 31, 30, 30, 33, 30, 33, 30, 35, 34, 29, 32, 30, 32, 31, 32, 32, 34, 33, 32, 32, 31, 33, 30, 29, 32, 30, 33, 31]",33,74,1.581737633
27,32,33.25806452,1,"[31, 31, 29, 32, 29, 33, 35, 32, 33, 36, 35, 32, 32, 38, 34, 34, 36, 31, 38, 31, 34, 32, 37, 40, 31, 32, 32, 35, 34, 29, 33]",31,75,2.719898796
31,35,36.82352941,1,"[35, 39, 35, 36, 38, 37, 36, 32, 39, 41, 35, 38, 39, 34, 36, 38, 43, 33, 38, 37, 37, 37, 36, 33, 35, 36, 36, 40, 34, 35, 39, 37, 39, 39]",34,76,2.392799656
27,32,33.57575758,1,"[35, 36, 34, 30, 29, 30, 32, 34, 37, 30, 36, 37, 35, 32, 36, 33, 31, 37, 33, 33, 29, 36, 34, 32, 32, 35, 33, 33, 34, 38, 32, 38, 32]",33,77,2.549881162
23,28,30.97058824,1,"[35, 28, 29, 33, 25, 30, 37, 30, 33, 27, 35, 33, 29, 29, 42, 28, 31, 29, 37, 34, 33, 34, 30, 27, 28, 25, 27, 28, 33, 25, 30, 37, 34, 28]",34,78,4.003674783
28,34,36.2,1,"[36, 34, 30, 38, 36, 33, 36, 40, 36, 35, 36, 39, 37, 39, 37, 34, 43, 35, 37, 30, 34, 46, 37, 38, 37, 33, 34, 36, 31, 39]",30,79,3.407901569
25,28,29.96969697,1,"[31, 30, 30, 36, 27, 28, 32, 29, 27, 27, 31, 31, 27, 30, 32, 32, 33, 33, 30, 31, 27, 30, 30, 27, 32, 29, 29, 30, 35, 28, 29, 29, 27]",33,80,2.338333387
24,27,29.78787879,1,"[30, 30, 31, 26, 26, 35, 29, 32, 29, 35, 26, 37, 31, 32, 26, 29, 32, 35, 27, 29, 26, 29, 27, 33, 36, 27, 30, 26, 29, 30, 26, 28, 29]",33,81,3.218671851
25,27,29.97058824,1,"[28, 30, 30, 32, 33, 27, 33, 31, 28, 27, 32, 31, 29, 27, 35, 30, 29, 30, 35, 31, 33, 30, 31, 27, 30, 27, 27, 29, 31, 27, 27, 33, 32, 27]",34,82,2.430678844
27,32,33.64705882,1,"[36, 34, 35, 36, 32, 34, 32, 32, 32, 35, 33, 32, 34, 35, 32, 32, 35, 39, 31, 36, 35, 36, 37, 33, 32, 32, 35, 34, 31, 35, 35, 29, 31, 32]",34,83,2.116061993
27,33,34.4375,1,"[35, 37, 32, 34, 36, 35, 34, 37, 35, 32, 34, 30, 33, 35, 37, 32, 32, 33, 33, 32, 38, 35, 33, 37, 36, 33, 33, 37, 36, 38, 34, 34]",32,84,2.046830752
30,35,35.875,1,"[34, 38, 33, 35, 35, 36, 37, 41, 36, 38, 38, 36, 35, 34, 35, 36, 36, 38, 40, 36, 36, 34, 33, 37, 31, 35, 34, 34, 37, 35, 38, 37]",32,85,2.075199174
30,36,37.86111111,1,"[38, 38, 38, 39, 39, 39, 39, 36, 32, 42, 39, 42, 33, 42, 34, 42, 39, 38, 38, 41, 37, 41, 36, 36, 34, 39, 36, 39, 37, 34, 37, 37, 37, 41, 38, 36]",36,86,2.576296099
31,37,37.6875,1,"[41, 36, 39, 40, 38, 36, 36, 37, 40, 37, 39, 36, 37, 37, 39, 36, 40, 38, 39, 36, 40, 37, 38, 38, 38, 37, 34, 38, 39, 37, 35, 38]",32,87,1.63504957
28,34,35.86111111,1,"[38, 35, 33, 37, 41, 37, 37, 36, 36, 32, 40, 37, 36, 30, 36, 30, 34, 33, 36, 34, 38, 37, 36, 35, 33, 36, 40, 37, 35, 34, 37, 39, 34, 38, 33, 41]",36,88,2.684907849
31,35,36.17647059,1,"[35, 37, 36, 36, 34, 34, 33, 35, 39, 36, 36, 33, 34, 38, 39, 36, 42, 34, 35, 35, 37, 37, 40, 35, 36, 38, 36, 38, 37, 33, 37, 33, 37, 39]",34,89,2.152807726
36,41,43.19354839,1,"[40, 41, 38, 48, 41, 40, 38, 42, 45, 44, 46, 45, 49, 43, 47, 49, 42, 42, 42, 41, 46, 42, 38, 47, 40, 42, 42, 45, 49, 44, 41]",31,90,3.270263545
25,30,31.64705882,1,"[36, 35, 38, 30, 30, 36, 30, 27, 31, 30, 29, 41, 30, 29, 29, 33, 34, 30, 30, 29, 35, 36, 27, 29, 31, 32, 27, 30, 30, 30, 36, 32, 30, 34]",34,91,3.347385709
27,32,34.85294118,1,"[37, 38, 40, 34, 33, 33, 32, 32, 38, 32, 36, 38, 38, 29, 31, 35, 35, 37, 35, 34, 29, 37, 32, 35, 35, 35, 40, 39, 35, 35, 36, 31, 38, 31]",34,92,2.96578829
23,28,30.5,1,"[34, 26, 29, 31, 25, 33, 36, 31, 40, 27, 34, 36, 29, 29, 37, 28, 35, 29, 27, 34, 31, 31, 28, 25, 26, 25, 26, 28, 28, 29, 29, 35, 34, 32]",34,93,3.917714238
23,28,30.3,1,"[31, 35, 25, 32, 25, 29, 29, 30, 29, 29, 27, 33, 35, 34, 25, 30, 39, 31, 28, 25, 31, 31, 30, 32, 36, 25, 29, 27, 36, 31]",30,94,3.668599282
27,32,33.1875,1,"[34, 32, 33, 37, 32, 30, 35, 32, 29, 35, 33, 32, 32, 38, 34, 34, 33, 34, 32, 33, 38, 32, 36, 31, 32, 32, 33, 36, 31, 32, 34, 31]",32,95,2.146828118
21,25,27.96969697,1,"[28, 31, 32, 25, 26, 31, 28, 32, 29, 32, 28, 23, 25, 32, 23, 28, 33, 31, 24, 28, 26, 28, 29, 31, 24, 28, 28, 25, 27, 32, 24, 28, 24]",33,96,3.025773129
22,27,28.20588235,1,"[26, 28, 29, 30, 32, 25, 28, 26, 28, 24, 28, 24, 27, 29, 32, 29, 28, 29, 31, 27, 29, 28, 31, 30, 29, 28, 26, 28, 31, 32, 28, 25, 30, 24]",34,97,2.280077242
21,25,27.73529412,1,"[28, 24, 29, 30, 25, 34, 24, 31, 23, 28, 25, 25, 30, 31, 27, 25, 33, 34, 30, 30, 27, 28, 27, 27, 24, 26, 25, 31, 24, 33, 32, 25, 24, 24]",34,98,3.314877607
25,31,32.3125,1,"[31, 39, 30, 32, 31, 31, 31, 34, 31, 31, 33, 34, 31, 33, 35, 27, 31, 32, 31, 29, 36, 34, 31, 36, 30, 30, 28, 37, 31, 38, 33, 33]",32,99,2.764259219
27,30,31.96875,1,"[33, 37, 34, 33, 28, 33, 34, 34, 30, 31, 35, 32, 32, 32, 30, 35, 30, 32, 39, 30, 28, 28, 31, 33, 28, 30, 31, 30, 31, 31, 34, 34]",32,100,2.596329605
30,36,37.71428571,1,"[36, 41, 39, 36, 37, 40, 39, 36, 36, 37, 34, 37, 37, 41, 35, 40, 41, 35, 36, 42, 37, 40, 35, 39, 36, 38, 43, 36, 37, 42, 35, 36, 38, 32, 41]",35,101,2.607358688
31,36,37.54545455,1,"[36, 36, 40, 39, 38, 35, 35, 37, 40, 38, 38, 36, 38, 40, 37, 35, 40, 37, 38, 38, 39, 38, 35, 36, 37, 40, 38, 34, 37, 38, 41, 37, 38]",33,102,1.751622624
31,35,36.25,1,"[38, 34, 36, 35, 36, 38, 40, 36, 36, 38, 36, 36, 37, 33, 37, 33, 34, 33, 37, 35, 38, 36, 38, 36, 33, 36, 40, 38, 33, 36, 38, 39, 34, 40, 35, 37]",36,103,2.047646733
30,34,35.41176471,1,"[35, 37, 35, 34, 36, 38, 34, 35, 37, 32, 34, 36, 35, 36, 38, 34, 37, 33, 35, 34, 37, 37, 40, 33, 34, 35, 35, 37, 36, 32, 36, 32, 40, 35]",34,104,2.001781738
31,36,38,1,"[41, 36, 32, 43, 34, 39, 44, 38, 37, 38, 38, 38, 41, 35, 36, 43, 33, 35, 42, 36, 39, 32, 36, 39, 39, 39, 37, 42, 41, 38, 37]",31,105,3.16227766
28,32,33.82352941,1,"[34, 37, 33, 32, 37, 36, 30, 36, 33, 30, 30, 36, 36, 36, 30, 33, 37, 34, 31, 34, 35, 36, 33, 31, 33, 37, 33, 38, 32, 30, 36, 34, 33, 34]",34,106,2.417995516
30,35,35.91176471,1,"[35, 38, 38, 33, 32, 35, 34, 37, 35, 34, 40, 39, 35, 32, 35, 35, 35, 38, 36, 35, 32, 40, 32, 38, 38, 38, 35, 38, 37, 36, 38, 33, 40, 35]",34,107,2.404133398
26,32,33.5,1,"[37, 33, 32, 33, 28, 31, 34, 31, 37, 33, 36, 39, 35, 36, 37, 32, 30, 33, 35, 36, 33, 33, 32, 34, 34, 28, 34, 32, 30, 28, 35, 38, 37, 33]",34,108,2.831104293
26,30,32.93333333,1,"[34, 37, 28, 40, 28, 30, 31, 32, 30, 37, 36, 28, 34, 38, 28, 31, 44, 35, 28, 31, 35, 35, 31, 29, 38, 31, 31, 31, 30, 37]",30,109,4.101583658
26,30,32.51515152,1,"[31, 32, 32, 40, 30, 28, 34, 31, 34, 28, 34, 35, 33, 32, 32, 35, 34, 36, 35, 33, 37, 30, 33, 32, 28, 28, 31, 39, 37, 28, 31, 30, 30]",33,110,3.143656431
23,27,29.54545455,1,"[30, 28, 34, 26, 26, 32, 27, 34, 27, 28, 29, 29, 29, 36, 25, 28, 32, 33, 25, 31, 26, 29, 33, 29, 35, 33, 31, 29, 26, 32, 25, 28, 30]",33,111,3.093247778
24,28,30.32352941,1,"[27, 28, 30, 34, 36, 28, 26, 29, 30, 27, 30, 31, 30, 31, 33, 26, 33, 35, 31, 26, 30, 28, 34, 31, 31, 34, 28, 29, 33, 34, 28, 33, 31, 26]",34,112,2.846801376
